0 .03	ay
.03 .06	l
.06 1.24	sil
1.24 1.55	hh
1.55 1.64	ae
1.64 1.69	v
1.69 1.74	ah
1.74 1.82	s
1.82 1.89	k
1.89 1.99	uw
1.99 2.04	p
2.04 2.12	ah
2.12 2.16	v
2.16 2.21	dh
2.21 2.28	ah
2.28 2.33	t
2.33 2.39	ih
2.39 2.49	g
2.49 2.54	z
2.54 2.66	aa
2.66 2.70	t
2.70 2.76	ih
2.76 2.84	k
2.84 2.90	p
2.90 3.05	er
3.05 3.10	p
3.10 3.13	ah
3.13 3.18	l
3.18 3.26	ae
3.26 3.29	n
3.29 3.33	d
3.33 3.39	t
3.39 3.49	er
3.49 3.58	k
3.58 3.62	w
3.62 3.73	oy
3.73 3.80	z
3.80 3.98	sh
3.98 4.08	er
4.08 4.14	b
4.14 4.23	ih
4.23 4.42	t
4.42 5.74	sil
