0 .03	dh
.03 .06	iy
.06 .60	sil
.60 .84	hh
.84 1.03	ay
1.03 1.06	sil
1.06 1.11	s
1.11 1.18	ih
1.18 1.28	k
1.28 1.31	y
1.31 1.38	uh
1.38 1.42	r
1.42 1.46	ah
1.46 1.51	t
1.51 1.60	iy
1.60 1.69	p
1.69 1.74	r
1.74 1.78	ih
1.78 1.88	z
1.88 1.96	ah
1.96 2.06	n
2.06 2.10	w
2.10 2.14	ah
2.14 2.19	z
2.19 2.28	s
2.28 2.39	er
2.39 2.49	aw
2.49 2.54	n
2.54 2.57	d
2.57 2.61	ih
2.61 2.69	d
2.69 2.75	b
2.75 2.90	ay
2.90 3.01	b
3.01 3.15	aa
3.15 3.24	b
3.24 3.30	d
3.30 3.33	sil
3.33 3.39	w
3.39 3.54	ay
3.54 3.80	ah
3.80 4.65	sil
