0 .05	ay
.05 .08	l
.08 .80	sil
.80 1.18	hh
1.18 1.32	ae
1.32 1.36	v
1.36 1.43	ah
1.43 1.58	s
1.58 1.67	k
1.67 1.79	uw
1.79 1.92	p
1.92 1.95	sil
1.95 2.10	ah
2.10 2.18	v
2.18 2.21	sil
2.21 2.35	dh
2.35 2.41	ah
2.41 2.54	t
2.54 2.60	sil
2.60 2.72	ih
2.72 2.81	g
2.81 2.92	z
2.92 3.04	aa
3.04 3.10	t
3.10 3.16	ih
3.16 3.27	k
3.27 3.32	sil
3.32 3.38	p
3.38 3.52	er
3.52 3.63	p
3.63 3.68	ah
3.68 3.81	l
3.81 4.01	sil
4.01 4.18	ah
4.18 4.26	n
4.26 4.36	t
4.36 4.50	er
4.50 4.59	k
4.59 4.63	w
4.63 4.76	oy
4.76 4.89	z
4.89 4.92	sil
4.92 5.12	sh
5.12 5.21	er
5.21 5.30	b
5.30 5.35	ah
5.35 5.51	t
5.51 6.44	sil
